CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
13107075,奇磊室內裝修設計有限公司,臺北市松山區富錦街12巷6號1樓,臺北市松山區精忠里13鄰富錦街12巷6號,305576.332,2772515.007
13107217,清禾室內裝修有限公司,臺北市松山區民生東路5段36巷4弄59號,臺北市松山區介壽里16鄰民生東路五段36巷4弄59號,306518.294,2772326.5
13109003,真藝室內裝修有限公司,臺北市內湖區成功路4段217號1樓,臺北市內湖區清白里16鄰成功路四段217號,310152.879,2775245.198
13112859,品雅室內裝修工程有限公司,臺北市內湖區潭美街590號,臺北市內湖區蘆洲里3鄰潭美街590號,310489.427,2772619.704
13113323,呈品國際室內裝修設計工程股份有限公司,臺北市大安區忠孝東路4段148號8樓之4,臺北市大安區建倫里1鄰忠孝東路四段148號,305490.04,2770464.623
13113800,浩翰室內裝修設計有限公司,臺北市大安區仁愛路４段３９４號１樓,臺北市大安區光信里9鄰仁愛路四段394號,306148.035,2770037.679
13113858,鴻立室內裝修工程股份有限公司,臺北市中正區紹興北街8號5樓,臺北市中正區梅花里6鄰紹興北街8號,303001.702,2770889.057
13117643,威僑室內裝修實業有限公司,臺北市中山區復興北路344號6樓,臺北市中山區江山里25鄰復興北路344號,304880.691,2772509.229
13118018,大緒室內裝修設計有限公司,臺北市信義區信義路4段397號6樓,臺北市信義區中興里11鄰信義路四段397號,306372.986,2769577.922
13122250,中暐室內裝修有限公司,臺北市士林區文林路760號5樓,臺北市士林區德華里15鄰文林路760號,302435.694,2777323.975
13123820,新居室內裝修工程有限公司,臺北市中山區龍江路412巷50號(1樓),臺北市中山區行仁里28鄰龍江路412巷50號,304367.975,2773366.276
13125236,洛邑室內裝修設計工程有限公司,臺北市中正區衡陽路10號13樓,臺北市中正區黎明里9鄰衡陽路10號,301827.786,2770553.203
13125828,藝和室內裝修工程有限公司,臺北市信義區光復南路473巷8號5樓之2,臺北市信義區中興里13鄰光復南路473巷8號,306324.213,2769613.74
13127261,順鴻室內裝修有限公司,臺北市文山區萬美街1段29號,臺北市文山區萬芳里26鄰萬美街一段29號,307455.752,2766118.473
13131080,其可室內裝修有限公司,臺北市大安區敦化南路1段192號3樓之7,臺北市大安區光武里1鄰敦化南路一段192號,305347.093,2770602.231
13132519,大勻室內裝修有限公司,臺北市信義區基隆路1段155號8樓之8,臺北市信義區興雅里6鄰基隆路一段155號,307046.103,2770572.592
13132692,立華室內裝修有限公司,臺北市中正區和平西路2段78號7樓之3,臺北市中正區龍興里5鄰和平西路二段78號,301577.049,2769129.634
13133313,大岸室內裝修工程有限公司,臺北市中山區新生北路2段123巷8號,臺北市中山區中庄里3鄰新生北路二段123巷8號,303276.717,2772450.224
13133952,紅整合室內裝修有限公司,臺北市大安區復興南路2段293之3號8樓之3,臺北市大安區臥龍里8鄰復興南路二段293之3號,304858.21,2768611.464
