"Response_X","Response_Y","R_cat","P_cat","M_cat"
302960.071,2775652.199,1,0,0
302957.833,2775657.251,1,0,0
302930.285,2775641.27,1,0,0
302978.735,2775630.045,1,0,0
302982.292,2775611.954,1,0,0
302977.875,2775634.48,3,0,0
302983.911,2776188.455,2,0,0
302970.58,2775676.044,4,0,0
302971.097,2775687.103,1,0,0
302966.475,2775699.08,1,0,0
302956.905,2775708.545,1,0,0
302967.736,2775746.836,1,0,0
302966.816,2775741.889,1,0,0
302997.494,2775521.135,1,0,0
302979.004,2775745.154,1,0,0
302993.176,2775793.621,2,1,0
302990.532,2775822.484,1,0,0
303005.536,2775822.667,1,0,0
303003.197,2775827.847,1,0,0
303005.856,2775864.957,1,0,0
303018.981,2775868.967,2,0,0
303011.514,2775925.735,1,0,0
303092.76,2775989.962,1,0,0
303051.623,2775977.812,1,0,0
